step	total_gs	compute_gs	write_gs
762	2.51571e+06	1.69083e+06	6.077
763	2.51571e+06	1.69083e+06	6.077
764	2.51571e+06	1.69083e+06	6.078
765	2.51571e+06	1.69083e+06	6.079
766	2.51571e+06	1.69083e+06	6.08
767	2.51571e+06	1.69083e+06	6.08
768	2.51572e+06	1.69083e+06	6.081
769	2.51572e+06	1.69083e+06	6.081
770	2.51572e+06	1.69083e+06	6.154
771	2.52232e+06	1.69523e+06	6.155
772	2.52891e+06	1.69963e+06	6.155
773	2.53551e+06	1.70403e+06	6.156
774	2.54211e+06	1.70843e+06	6.156
775	2.54871e+06	1.71283e+06	6.157
776	2.55531e+06	1.71723e+06	6.158
777	2.56191e+06	1.72163e+06	6.159
778	2.56851e+06	1.72603e+06	6.16
779	2.57511e+06	1.73043e+06	6.161
780	2.58171e+06	1.73483e+06	6.233
781	2.58171e+06	1.73483e+06	6.233
782	2.58171e+06	1.73483e+06	6.234
783	2.58171e+06	1.73483e+06	6.235
784	2.58171e+06	1.73483e+06	6.236
785	2.58171e+06	1.73483e+06	6.236
786	2.58171e+06	1.73483e+06	6.237
787	2.58171e+06	1.73483e+06	6.238
788	2.58171e+06	1.73483e+06	6.239
789	2.58171e+06	1.73483e+06	6.24
790	2.58171e+06	1.73483e+06	6.313
791	2.58831e+06	1.73923e+06	6.314
792	2.59491e+06	1.74363e+06	6.315
793	2.60151e+06	1.74803e+06	6.316
794	2.60811e+06	1.75243e+06	6.317
795	2.61472e+06	1.75683e+06	6.318
796	2.62132e+06	1.76123e+06	6.319
797	2.62792e+06	1.76563e+06	6.32
798	2.63452e+06	1.77003e+06	6.321
799	2.64112e+06	1.77443e+06	6.322
800	2.64772e+06	1.77883e+06	6.395
801	2.64772e+06	1.77883e+06	6.396
